imposed	<im;posed>
logging	<log;ging>
nymph	<nymph>
pollock	<pol;lock>
boy	<boy>
tattooing	<tat;too;ing>
bibb	<bibb>
ope	<ope>
womb	<womb>
rubbing	<rub;bing>
achieve	<a;chieve>
lid	<lid>
ohm	<ohm>
outstation	<out;sta;tion>
tranquil	<tran;quil>
phrase	<phrase>
com	<com>
seasonal	<sea;son;al>
compress	<com;press>
lesion	<le;sion>
wright	<wright>
scoreboard	<score;board>
janitor	<jan;i;tor>
cranky	<crank;y>
anyways	<an;y;ways>
algorithmic	<al;go;rith;mic>
scarlet	<scar;let>
rosin	<ros;in>
hardtop	<hard;top>
conclusion	<con;clu;sion>
fork	<fork>
occipital	<oc;cip;i;tal>
gloomy	<gloom;y>
amygdala	<a;myg;da;la>
oca	<o;ca>
chasse	<chas;se>
outlander	<out;land;er>
dap	<dap>
manual	<man;u;al>
mutton	<mut;ton>
franchised	<fran;chised>
pilar	<pi;lar>
respirator	<res;pi;ra;tor>
permanence	<per;ma;nence>
pollack	<pol;lack>
advantageous	<ad;van;ta;geous>
fatty	<fat;ty>
sensory	<sen;so;ry>
amen	<a;men>
stick	<stick>
disagreeable	<dis;a;gree;a;ble>
preliminaries	<pre;lim;i;nar;ies>
corgi	<cor;gi>
metis	<me;tis>
advancement	<ad;vance;ment>
heparin	<hep;a;rin>
rescind	<re;scind>
stucco	<stuc;co>
headland	<head;land>
insistent	<in;sist;ent>
expanse	<ex;panse>
troubleshoot	<trou;ble;shoot>
infinity	<in;fin;i;ty>
piloting	<pi;lot;ing>
separator	<sep;a;ra;tor>
electromagnetic	<e;lec;tro;mag;net;ic>
rainbow	<rain;bow>
yawning	<yawn;ing>
objectivity	<ob;jec;tiv;i;ty>
inner	<in;ner>
unnecessary	<un;nec;es;sar;y>
revolutionary	<rev;o;lu;tion;ar;y>
torrid	<tor;rid>
instinct	<in;stinct>
masculine	<mas;cu;line>
animosity	<an;i;mos;i;ty>
via	<vi;a>
hygienist	<hy;gien;ist>
stunt	<stunt>
superbly	<su;perb;ly>
obligor	<ob;li;gor>
commercial	<com;mer;cial>
laborious	<la;bo;ri;ous>
khan	<khan>
backlit	<back;lit>
dust	<dust>
kahuna	<ka;hu;na>
race	<race>
retriever	<re;triev;er>
haulage	<haul;age>
trowel	<trow;el>
taxis	<tax;is>
convincingly	<con;vinc;ing;ly>
massager	<mas;sag;er>
erasing	<e;ras;ing>
ethically	<eth;i;cal;ly>
brut	<brut>
affairs	<af;fairs>
crucial	<cru;cial>
pastor	<pas;tor>
weakly	<weak;ly>
std	<std>
sessional	<ses;sion;al>
executable	<ex;e;cut;a;ble>
tubes	<tubes>
etcetera	<et;cet;er;a>
rot	<rot>
excitement	<ex;cite;ment>
unaccompanied	<un;ac;com;pa;nied>
susceptibility	<sus;cep;ti;bil;i;ty>
sweepstakes	<sweep;stakes>
spina	<spi;na>
wiretapping	<wire;tap;ping>
falcon	<fal;con>
diesel	<die;sel>
cinema	<cin;e;ma>
deport	<de;port>
tangle	<tan;gle>
embryonic	<em;bry;on;ic>
cyprus	<cy;prus>
bebop	<be;bop>
rise	<rise>
tempered	<tem;pered>
anchorman	<an;chor;man>
occurring	<oc;cur;ring>
agility	<a;gil;i;ty>
socialization	<so;cial;i;za;tion>
coordinate	<co;or;di;nate>
treacherous	<treach;er;ous>
layer	<lay;er>
intermountain	<in;ter;moun;tain>
outlay	<out;lay>
caretaker	<care;tak;er>
shock	<shock>
suds	<suds>
efficiently	<ef;fi;cient;ly>
retribution	<ret;ri;bu;tion>
airflow	<air;flow>
substation	<sub;sta;tion>
flinders	<flin;ders>
these	<these>
principally	<prin;ci;pal;ly>
describing	<de;scrib;ing>
rivalry	<ri;val;ry>
reluctance	<re;luc;tance>
moonshine	<moon;shine>
outrun	<out;run>
interlock	<in;ter;lock>
tune	<tune>
availability	<a;vail;a;bil;i;ty>
cast	<cast>
irrespective	<ir;re;spec;tive>
nympho	<nym;pho>
sweater	<sweat;er>
bypass	<by;pass>
stewardship	<stew;ard;ship>
peasant	<peas;ant>
bear	<bear>
interment	<in;ter;ment>
interferometer	<in;ter;fer;om;e;ter>
tracheal	<tra;che;al>
clarifying	<clar;i;fy;ing>
visitor	<vis;i;tor>
peerage	<peer;age>
invariably	<in;var;i;a;bly>
muse	<muse>
confidentiality	<con;fi;den;ti;al;i;ty>
busty	<bust;y>
mun	<mun>
favors	<fa;vors>
doth	<doth>
needle	<nee;dle>
toilet	<toi;let>
mince	<mince>
tenuous	<ten;u;ous>
griff	<griff>
headboard	<head;board>
pollination	<pol;li;na;tion>
meaningless	<mean;ing;less>
rcd	<rcd>
justifying	<jus;ti;fy;ing>
cavernous	<cav;ern;ous>
mending	<mend;ing>
suburban	<sub;ur;ban>
husky	<husk;y>
take	<take>
nominee	<nom;i;nee>
coloring	<col;or;ing>
esplanade	<es;pla;nade>
ceramics	<ce;ram;ics>
carrion	<car;ri;on>
clarion	<clar;i;on>
perpetuated	<per;pet;u;at;ed>
craving	<crav;ing>
backlog	<back;log>
trait	<trait>
mime	<mime>
sade	<sa;de>
cannabis	<can;na;bis>
hon	<hon>
locating	<lo;cat;ing>
use	<use>
therefore	<there;fore>
weber	<we;ber>
recharging	<re;charg;ing>
notary	<no;ta;ry>
executing	<ex;e;cut;ing>
midnight	<mid;night>
tile	<tile>
claw	<claw>
mathematics	<math;e;mat;ics>
triad	<tri;ad>
lighter	<light;er>
colorless	<col;or;less>
clinically	<clin;i;cal;ly>
sucker	<suck;er>
gill	<gill>
forums	<fo;rums>
mild	<mild>
regard	<re;gard>
cloture	<clo;ture>
whatsoever	<what;so;ev;er>
investigation	<in;ves;ti;ga;tion>
abutting	<a;but;ting>
chronograph	<chron;o;graph>
relist	<re;list>
madden	<mad;den>
knife	<knife>
pataca	<pa;ta;ca>
stalked	<stalked>
splits	<splits>
curmudgeon	<cur;mudg;eon>
granny	<gran;ny>
buffet	<buf;fet>
focused	<fo;cused>
generalised	<gen;er;al;ised>
deafness	<deaf;ness>
figural	<fig;ur;al>
unopposed	<un;op;posed>
cappuccino	<cap;puc;ci;no>
egress	<e;gress>
nurturing	<nur;tur;ing>
brownie	<brown;ie>
gynaecology	<gy;nae;col;o;gy>
asserted	<as;sert;ed>
undesired	<un;de;sired>
split	<split>
deft	<deft>
trombone	<trom;bone>
pretext	<pre;text>
traversed	<trav;ersed>
radiance	<ra;di;ance>
propaganda	<prop;a;gan;da>
frontier	<fron;tier>
ronin	<ro;nin>
therefor	<there;for>
telepathy	<te;lep;a;thy>
misconception	<mis;con;cep;tion>
exaggerate	<ex;ag;ger;ate>
admired	<ad;mired>
gam	<gam>
gravity	<grav;i;ty>
canal	<ca;nal>
specter	<spec;ter>
mansion	<man;sion>
wildly	<wild;ly>
university	<u;ni;ver;si;ty>
paragraph	<par;a;graph>
fibre	<fi;bre>
intrigued	<in;trigued>
obsessive	<ob;ses;sive>
jess	<jess>
tachycardia	<tach;y;car;di;a>
crescent	<cres;cent>
tarp	<tarp>
inscription	<in;scrip;tion>
kona	<ko;na>
reproduced	<re;pro;duced>
exception	<ex;cep;tion>
catheter	<cath;e;ter>
imaginary	<im;ag;i;nar;y>
preempt	<pre;empt>
hemispheric	<hem;i;spher;ic>
plugging	<plug;ging>
unto	<un;to>
flammable	<flam;ma;ble>
spa	<spa>
breech	<breech>
alternately	<al;ter;nate;ly>
conventional	<con;ven;tion;al>
eth	<eth>
cif	<cif>
plywood	<ply;wood>
elucidate	<e;lu;ci;date>
con	<con>
boots	<boots>
sprang	<sprang>
husk	<husk>
sassy	<sas;sy>
falsified	<fal;si;fied>
gunshot	<gun;shot>
rumble	<rum;ble>
advisor	<ad;vi;sor>
graphical	<graph;i;cal>
invoice	<in;voice>
arty	<art;y>
porcelain	<porce;lain>
feather	<feath;er>
walleye	<wall;eye>
muscular	<mus;cu;lar>
roger	<rog;er>
classifiable	<clas;si;fi;a;ble>
ascend	<as;cend>
grate	<grate>
wert	<wert>
negatively	<neg;a;tive;ly>
undue	<un;due>
formalism	<for;mal;ism>
bds	<bds>
shandy	<shan;dy>
cell	<cell>
dormant	<dor;mant>
serene	<se;rene>
psychologically	<psy;cho;log;i;cal;ly>
resistive	<re;sis;tive>
jihad	<ji;had>
follower	<fol;low;er>
horticulture	<hor;ti;cul;ture>
serum	<se;rum>
morale	<mo;rale>
following	<fol;low;ing>
rainwear	<rain;wear>
avid	<av;id>
pianos	<pi;an;os>
juncture	<junc;ture>
closely	<close;ly>
kayak	<kay;ak>
isolation	<i;so;la;tion>
kingpin	<king;pin>
balloon	<bal;loon>
happy	<hap;py>
continue	<con;tin;ue>
tantalum	<tan;ta;lum>
blackboard	<black;board>
rwd	<rwd>
focussing	<fo;cus;sing>
eaves	<eaves>
telemetry	<te;lem;e;try>
heck	<heck>
soundboard	<sound;board>
guile	<guile>
bygone	<by;gone>
impenetrable	<im;pen;e;tra;ble>
adhering	<ad;her;ing>
capers	<ca;pers>
ascension	<as;cen;sion>
situated	<sit;u;at;ed>
dissolving	<dis;solv;ing>
artillery	<ar;til;ler;y>
acetone	<ac;e;tone>
aid	<aid>
undisclosed	<un;dis;closed>
cohabitation	<co;hab;i;ta;tion>
regardless	<re;gard;less>
necessitate	<ne;ces;si;tate>
uptake	<up;take>
presumptive	<pre;sump;tive>
psychedelic	<psych;e;del;ic>
filming	<film;ing>
propagation	<prop;a;ga;tion>
respect	<re;spect>
gaby	<ga;by>
steadfast	<stead;fast>
tonite	<ton;ite>
rampant	<ram;pant>
porridge	<por;ridge>
proprietor	<pro;pri;e;tor>
raffle	<raf;fle>
upland	<up;land>
curtail	<cur;tail>
incipient	<in;cip;i;ent>
lately	<late;ly>
wisp	<wisp>
duplicator	<du;pli;ca;tor>
compose	<com;pose>
wildwood	<wild;wood>
apache	<a;pache>
lacking	<lack;ing>
riveting	<riv;et;ing>
causeway	<cause;way>
initialize	<in;i;tial;ize>
crucible	<cru;ci;ble>
air	<air>
partial	<par;tial>
magnet	<mag;net>
true	<true>
iris	<i;ris>
sculpt	<sculpt>
grasp	<grasp>
confinement	<con;fine;ment>
personable	<per;son;a;ble>
ai	<a;i>
tempo	<tem;po>
stress	<stress>
shelf	<shelf>
prosper	<pros;per>
satirical	<sa;tir;i;cal>
engaging	<en;gag;ing>
progesterone	<pro;ges;ter;one>
cay	<cay>
mediocrity	<me;di;oc;ri;ty>
heavy	<heav;y>
reappear	<re;ap;pear>
coated	<coat;ed>
varna	<var;na>
substituted	<sub;sti;tut;ed>
oars	<oars>
nicotine	<nic;o;tine>
psychotherapy	<psy;cho;ther;a;py>
degree	<de;gree>
mitigate	<mit;i;gate>
fluke	<fluke>
distributable	<dis;trib;ut;a;ble>
watercraft	<wa;ter;craft>
woody	<wood;y>
keener	<keen;er>
abate	<a;bate>
rackets	<rack;ets>
acquainted	<ac;quaint;ed>
signature	<sig;na;ture>
backstreet	<back;street>
appellant	<ap;pel;lant>
roping	<rop;ing>
trimmer	<trim;mer>
reformulated	<re;for;mu;lat;ed>
scathing	<scath;ing>
verifiable	<ver;i;fi;a;ble>
anvil	<an;vil>
amplified	<am;pli;fied>
investigate	<in;ves;ti;gate>
snips	<snips>
schneider	<schnei;der>
jagged	<jag;ged>
distribution	<dis;tri;bu;tion>
unwittingly	<un;wit;ting;ly>
appreciation	<ap;pre;ci;a;tion>
origination	<o;rig;i;na;tion>
deceleration	<de;cel;er;a;tion>
pathological	<path;o;log;i;cal>
ribbon	<rib;bon>
waving	<wav;ing>
pharmacological	<phar;ma;co;log;i;cal>
phonon	<pho;non>
alcoholic	<al;co;hol;ic>
boo	<boo>
appel	<ap;pel>
hexadecimal	<hex;a;dec;i;mal>
hoary	<hoar;y>
remitted	<re;mit;ted>
decipher	<de;ci;pher>
hearted	<heart;ed>
writing	<writ;ing>
cattle	<cat;tle>
redraw	<re;draw>
characterised	<char;ac;ter;ised>
anna	<an;na>
leather	<leath;er>
proline	<pro;line>
labia	<la;bi;a>
assimilate	<as;sim;i;late>
enthralled	<en;thralled>
abruptly	<ab;rupt;ly>
adjutant	<ad;ju;tant>
capacitor	<ca;pac;i;tor>
laser	<la;ser>
pillow	<pil;low>
funky	<funk;y>
malfunction	<mal;func;tion>
dehydrogenase	<de;hy;dro;gen;ase>
pyjamas	<py;jam;as>
naught	<naught>
occlusion	<oc;clu;sion>
wrapped	<wrapped>
feat	<feat>
doorway	<door;way>
withdraw	<with;draw>
creatively	<cre;a;tive;ly>
tack	<tack>
forcible	<for;ci;ble>
holm	<holm>
denial	<de;ni;al>
vogue	<vogue>
myself	<my;self>
fragment	<frag;ment>
microeconomics	<mi;cro;e;co;nom;ics>
butte	<butte>
amphitheatre	<am;phi;the;a;tre>
simmer	<sim;mer>
warsaw	<war;saw>
podiatry	<po;di;a;try>
unrestricted	<un;re;strict;ed>
reddish	<red;dish>
playbill	<play;bill>
unwind	<un;wind>
ged	<ged>
immoral	<im;mor;al>
trey	<trey>
alleviating	<al;le;vi;at;ing>
protruding	<pro;trud;ing>
warfarin	<war;fa;rin>
rhythmic	<rhyth;mic>
roomy	<room;y>
beluga	<be;lu;ga>
enigmatic	<en;ig;mat;ic>
devolved	<de;volved>
duplicated	<du;pli;cat;ed>
plethora	<pleth;o;ra>
sewn	<sewn>
pitfall	<pit;fall>
exploration	<ex;plo;ra;tion>
panhandle	<pan;han;dle>
evident	<ev;i;dent>
cans	<cans>
compressible	<com;press;i;ble>
busy	<bus;y>
greyhound	<grey;hound>
septal	<sep;tal>
redundancy	<re;dun;dan;cy>
gtc	<gtc>
separable	<sep;a;ra;ble>
listing	<list;ing>
foolproof	<fool;proof>
hadron	<had;ron>
credential	<cre;den;tial>
bursting	<burst;ing>
discontinuous	<dis;con;tin;u;ous>
barr	<bar;r>
morn	<morn>
reduce	<re;duce>
requisite	<req;ui;site>
grey	<grey>
chaser	<chas;er>
despised	<de;spised>
trouble	<trou;ble>
effectively	<ef;fec;tive;ly>
boon	<boon>
balboa	<bal;bo;a>
epiphany	<e;piph;a;ny>
creole	<cre;ole>
muster	<mus;ter>
modernity	<mo;der;ni;ty>
casserole	<cas;se;role>
forgo	<for;go>
stamina	<stam;i;na>
hereby	<here;by>
hysterical	<hys;ter;i;cal>
genius	<gen;ius>
rheumatology	<rheu;ma;tol;o;gy>
spoon	<spoon>
deflected	<de;flect;ed>
trample	<tram;ple>
mousse	<mousse>
reckon	<reck;on>
realised	<re;al;ised>
mainline	<main;line>
registration	<reg;is;tra;tion>
crater	<cra;ter>
furnishing	<fur;nish;ing>
streptomyces	<strep;to;my;ces>
mushroom	<mush;room>
tew	<tew>
catch	<catch>
otolaryngology	<o;to;lar;yn;gol;o;gy>
speculate	<spec;u;late>
humanism	<hu;man;ism>
crosstalk	<cross;talk>
comedy	<com;e;dy>
watertight	<wa;ter;tight>
coke	<coke>
limp	<limp>
superlative	<su;per;la;tive>
centering	<cen;ter;ing>
hike	<hike>
nope	<nope>
babu	<ba;bu>
napoleon	<na;po;le;on>
welder	<weld;er>
truss	<truss>
fated	<fat;ed>
cool	<cool>
hydration	<hy;dra;tion>
epitaph	<ep;i;taph>
deck	<deck>
trig	<trig>
complacency	<com;pla;cen;cy>
aeon	<ae;on>
depreciation	<de;pre;ci;a;tion>
implied	<im;plied>
segment	<seg;ment>
rhinitis	<rhi;ni;tis>
done	<done>
personalization	<per;son;al;i;za;tion>
paint	<paint>
moveable	<move;a;ble>
brother	<broth;er>
heron	<her;on>
baseball	<base;ball>
dandelion	<dan;de;li;on>
discontinuation	<dis;con;tin;u;a;tion>
ambler	<am;bler>
blotting	<blot;ting>
portraiture	<por;trai;ture>
applaud	<ap;plaud>
polymeric	<pol;y;mer;ic>
galore	<ga;lore>
motte	<motte>
spiral	<spir;al>
pueblo	<pueb;lo>
conscientious	<con;sci;en;tious>
oeuvres	<oeu;vres>
safe	<safe>
developement	<de;vel;ope;ment>
sheik	<sheik>
funeral	<fu;ner;al>
immensely	<im;mense;ly>
coordinated	<co;or;di;nat;ed>
multithreaded	<mul;ti;thread;ed>
pout	<pout>
perfection	<per;fec;tion>
lean	<lean>
lakeshore	<lake;shore>
similar	<sim;i;lar>
retry	<re;try>
belladonna	<bel;la;don;na>
compressed	<com;pressed>
meaningfully	<mean;ing;ful;ly>
postural	<pos;tur;al>
impede	<im;pede>
reload	<re;load>
abnormality	<ab;nor;mal;i;ty>
lakefront	<lake;front>
lesser	<less;er>
horizon	<ho;ri;zon>
needful	<need;ful>
gallant	<gal;lant>
stores	<stores>
exploitation	<ex;ploi;ta;tion>
plush	<plush>
goddamn	<god;damn>
biopsy	<bi;op;sy>
illegible	<il;leg;i;ble>
strawberry	<straw;ber;ry>
backside	<back;side>
mobilization	<mo;bi;li;za;tion>
spring	<spring>
featurette	<fea;tur;ette>
seminary	<sem;i;nar;y>
exertion	<ex;er;tion>
youthful	<youth;ful>
epistemology	<e;pis;te;mol;o;gy>
preparatory	<pre;par;a;to;ry>
pointless	<point;less>
connected	<con;nect;ed>
uncut	<un;cut>
equivalent	<e;quiv;a;lent>
waterfront	<wa;ter;front>
intrauterine	<in;tra;u;ter;ine>
design	<de;sign>
dab	<dab>
literature	<lit;er;a;ture>
partisanship	<par;ti;san;ship>
restitution	<res;ti;tu;tion>
write	<write>
unbuffered	<un;buf;fered>
turbo	<tur;bo>
gadget	<gadg;et>
auto	<auto>
inaction	<in;ac;tion>
accident	<ac;ci;dent>
knuckle	<knuck;le>
midge	<midge>
dough	<dough>
divestiture	<di;vest;i;ture>
tourist	<tour;ist>
laughing	<laugh;ing>
whale	<whale>
military	<mil;i;tar;y>
roofing	<roof;ing>
tirelessly	<tire;less;ly>
outrageous	<out;ra;geous>
orange	<or;ange>
halide	<hal;ide>
substituting	<sub;sti;tut;ing>
cartridge	<car;tridge>
estranged	<es;tranged>
hilltop	<hill;top>
tuberculosis	<tu;ber;cu;lo;sis>
mono	<mon;o>
bicarbonate	<bi;car;bo;nate>
conditioner	<con;di;tion;er>
chemist	<chem;ist>
brief	<brief>
typography	<ty;pog;ra;phy>
pit	<pit>
avoidable	<a;void;a;ble>
tool	<tool>
tights	<tights>
relaxation	<re;lax;a;tion>
dread	<dread>
talkie	<talk;ie>
prevailing	<pre;vail;ing>
lavish	<lav;ish>
radiotherapy	<ra;di;o;ther;a;py>
revue	<re;vue>
subcontinent	<sub;con;ti;nent>
referral	<re;fer;ral>
demeanor	<de;mean;or>
odd	<odd>
ice	<ice>
narrative	<nar;ra;tive>
bootleg	<boot;leg>
overpayment	<o;ver;pay;ment>
reasonableness	<rea;son;a;ble;ness>
misplaced	<mis;placed>
carman	<car;man>
fell	<fell>
deception	<de;cep;tion>
future	<fu;ture>
trotter	<trot;ter>
duel	<du;el>
luck	<luck>
notebook	<note;book>
futurama	<fu;tu;ram;a>
pomegranate	<pome;gran;ate>
dragster	<drag;ster>
timothy	<tim;o;thy>
invisibility	<in;vis;i;bil;i;ty>
monochrome	<mon;o;chrome>
crunchy	<crunch;y>
measles	<mea;sles>
eruption	<e;rup;tion>
philosophically	<phil;o;soph;i;cal;ly>
heartbeat	<heart;beat>
trove	<trove>
depleting	<de;plet;ing>
parentage	<par;ent;age>
profane	<pro;fane>
mothering	<moth;er;ing>
persevere	<per;se;vere>
neg	<neg>
lop	<lop>
cramped	<cramped>
piranha	<pi;ra;nha>
tricky	<trick;y>
sit	<sit>
defray	<de;fray>
staking	<stak;ing>
jumbo	<jum;bo>
district	<dis;trict>
yeti	<yet;i>
kilowatt	<kil;o;watt>
fucker	<fuck;er>
laugh	<laugh>
paraphrase	<par;a;phrase>
exhilarating	<ex;hil;a;rat;ing>
mallow	<mal;low>
chamberlain	<cham;ber;lain>
exposed	<ex;posed>
clinical	<clin;i;cal>
juniper	<ju;ni;per>
evaporate	<e;vap;o;rate>
antiquity	<an;tiq;ui;ty>
conception	<con;cep;tion>
psychopathology	<psy;cho;pa;thol;o;gy>
tentacle	<ten;ta;cle>
rousing	<rous;ing>
ladder	<lad;der>
splitting	<split;ting>
dueling	<du;el;ing>
tensor	<ten;sor>
appetizer	<ap;pe;tiz;er>
climb	<climb>
mash	<mash>
abstract	<ab;stract>
sync	<sync>
salt	<salt>
gallus	<gal;lus>
bot	<bot>
suddenly	<sud;den;ly>
threat	<threat>
neutrino	<neu;tri;no>
wheeler	<wheel;er>
yam	<yam>
category	<cat;e;go;ry>
sedimentation	<sed;i;men;ta;tion>
elect	<elect>
investigated	<in;ves;ti;gat;ed>
stirring	<stir;ring>
unitary	<u;ni;tar;y>
dating	<dat;ing>
gosling	<gos;ling>
advertised	<ad;ver;tised>
baseman	<base;man>
firmness	<firm;ness>
whig	<whig>
model	<mod;el>
conveyancing	<con;vey;anc;ing>
stash	<stash>
pint	<pint>
adjoining	<ad;join;ing>
composer	<com;pos;er>
wrinkle	<wrin;kle>
defensible	<de;fen;si;ble>
choppers	<chop;pers>
global	<glob;al>
concerning	<con;cern;ing>
bookman	<book;man>
correspondent	<cor;re;spond;ent>
toughness	<tough;ness>
stoke	<stoke>
birdhouses	<bird;hous;es>
sprinkling	<sprin;kling>
scenario	<sce;nar;i;o>
astrologer	<as;trol;o;ger>
indulgence	<in;dul;gence>
theocracy	<the;oc;ra;cy>
mro	<m;ro>
limit	<lim;it>
wag	<wag>
kinematics	<kin;e;mat;ics>
purple	<pur;ple>
corolla	<co;rol;la>
luxuriously	<lux;u;ri;ous;ly>
spline	<spline>
license	<li;cense>
herein	<here;in>
polyurethane	<pol;y;u;re;thane>
etna	<et;na>
figuring	<fig;ur;ing>
bad	<bad>
apostolic	<ap;os;tol;ic>
taurine	<tau;rine>
tracks	<tracks>
forge	<forge>
revived	<re;vived>
charlotte	<char;lotte>
funnel	<fun;nel>
electorate	<e;lec;tor;ate>
phony	<pho;ny>
goblet	<gob;let>
fishnet	<fish;net>
kindness	<kind;ness>
regionalism	<re;gion;al;ism>
excited	<ex;cit;ed>
flax	<flax>
restructured	<re;struc;tured>
spirituality	<spir;it;u;al;i;ty>
goalie	<goal;ie>
send	<send>
intangible	<in;tan;gi;ble>
blue	<blue>
enlistment	<en;list;ment>
jar	<jar>
retina	<ret;i;na>
premier	<prem;ier>
